target_D,horizon,method,method_index,round,mean,ci_low,ci_high,aggregate_sha256
1,1000,transport_hessian,0,1,0.2056386556644772,0.16997805434680688,0.24197907848954614,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,10,1.8040141937000511,1.7303399271244113,1.8779373454692501,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,20,3.6314267066411481,3.5263401865252062,3.7387961264628675,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,30,5.4178811626707795,5.3074957902659898,5.5287790917324031,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,40,6.8879767904745322,6.7462335420632114,7.0251695861957923,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,50,8.3303352192602791,8.1951792147602553,8.4556148241501461,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,60,9.6895421186640522,9.5317484428732779,9.8376869155153663,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,70,11.036980075143092,10.857943666903646,11.211585154759474,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,80,12.312009489755546,12.142028787385486,12.475379348529748,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,90,13.601761956178759,13.405644426326546,13.789746302461467,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,100,14.88631391461022,14.672396573435201,15.095795089021545,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,110,16.148688520585246,15.955040362465937,16.333517534637171,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,120,17.345702311403162,17.132899037538312,17.55279510560435,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,130,18.532995933158436,18.303654755350351,18.758948986853092,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
1,1000,transport_hessian,0,140,19.567847918389869,19.303194772645096,19.826628670961089,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
