target_D,horizon,method,method_index,round,mean,ci_low,ci_high,aggregate_sha256
0.25,1000,transport_hessian,0,240,28.975933710832646,28.549823507745288,29.403869139138013,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,250,29.814800692457663,29.360815971530528,30.258305236481988,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,260,30.68738922516112,30.205055143844955,31.168543572290478,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,270,31.608743869131334,31.103612782895784,32.109841323070619,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,280,32.491960351321765,31.978393942558874,32.992394547053465,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,290,33.357275526122159,32.836030552098201,33.866044915367688,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,300,34.179410433480825,33.624632012593075,34.722930629469637,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,310,35.051519264796163,34.460816561894866,35.634176619333729,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,320,35.922167732931044,35.302397142153495,36.539053078459489,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,330,36.749993422523715,36.145864758240727,37.343369624202225,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,340,37.609909849481546,36.981843565626903,38.227387595650136,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,350,38.36757998947791,37.70219743808255,39.02939030721123,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,360,39.166758579150311,38.504498145345643,39.824463832044856,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,370,40.009158380014753,39.346606641136972,40.667112311878036,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,380,40.807472187679231,40.119350249141903,41.489597105845725,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,390,41.54987395966814,40.830991381877674,42.264300267871704,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,400,42.389961913495171,41.656754985599342,43.114904466055989,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,410,43.21020605169798,42.441406067794553,43.975414028771013,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,420,43.910207131346326,43.131387282719899,44.6900140552832,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,430,44.693084582508774,43.887741794859281,45.497999199631188,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,440,45.519491353490324,44.688479660291371,46.339863054735368,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,450,46.357496492820125,45.501043113080776,47.210202490945385,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,460,47.098918042654688,46.223696829139527,47.966249798816378,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,470,47.872861202668993,46.972609107939924,48.761517611942175,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,480,48.68638196038259,47.806987196517078,49.557649399396233,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,490,49.411982383620938,48.509254709060606,50.298802728864821,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,500,50.187639076903487,49.279467224885927,51.088757819642986,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,510,50.951053327951058,50.023115535878929,51.872766849584096,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,520,51.755048858619936,50.797641182339312,52.703640817709655,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,530,52.445696299624672,51.459550911513091,53.413738430660473,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,540,53.097990304778406,52.094335151939866,54.085635087008683,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,550,53.771294872253883,52.759227501424022,54.768815902339632,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,560,54.495573351677933,53.477770364141946,55.52257104414948,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,570,55.245478054456889,54.205389667799345,56.296871189800214,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,580,55.921062024722644,54.85697338797069,57.010336374891686,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,590,56.553841543973569,55.488479441400713,57.647927003456594,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,600,57.193033144533594,56.103267480842803,58.318763550352784,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,610,57.938079346637089,56.803039015629821,59.082711680002987,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,620,58.653012020914751,57.498320079350108,59.82028275729121,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,630,59.336159828557328,58.1564369934338,60.543392069102467,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,640,60.026995969511134,58.842126065641686,61.234726549987464,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,650,60.583653728040908,59.377562394862181,61.812568302616747,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,660,61.215956254421492,59.981939803090491,62.467911529120357,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,670,61.846538556524358,60.605661458017885,63.110861554730548,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,680,62.484132543888684,61.245989370732879,63.746524907153216,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,690,63.082583951339878,61.854587102206779,64.337609264851977,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,700,63.808404273682527,62.587542187578549,65.053419152849116,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,710,64.41588569554547,63.179265560607824,65.685810282472673,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,720,65.014668114014896,63.759554772342184,66.313631616111053,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,730,65.666635946090196,64.403541794640631,66.974603169553788,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,740,66.238316910279266,64.944887454241794,67.558701524404526,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,750,66.799330832303013,65.500284689945588,68.131105321480121,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,760,67.405563780749105,66.09569324397583,68.750536873760936,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,770,68.068940148825263,66.744991646912922,69.429417548351992,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,780,68.653182300860735,67.316433396547254,70.029612948860205,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,790,69.190588199977526,67.839144285734577,70.583543536819988,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,800,69.755198227381811,68.412231833263462,71.137876479212252,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,810,70.343616414452924,68.987155194285648,71.733203034579063,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,820,70.954457647187823,69.589720485982241,72.354382481423002,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,830,71.544176161582484,70.143942329957298,72.982877282644907,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,840,72.134025098606557,70.745230252623841,73.573517414561024,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,850,72.746184099873872,71.341599346371069,74.193027857454823,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,860,73.302354886426031,71.86934909137608,74.786319771951696,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,870,73.845366984076222,72.394590289394998,75.340018811633598,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,transport_hessian,0,880,74.388117184408287,72.916445629784931,75.908601548471921,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
