target_D,series_code,x,y,count,marker_size,aggregate_sha256
2,0,5.6234132519034904e-12,1.1220184543019617e-05,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.1220184543019629e-11,2.2387211385683376e-05,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.2387211385683377e-11,2.2387211385683376e-05,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,4.4668359215096346e-11,2.2387211385683376e-05,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,8.9125093813374591e-11,4.4668359215096301e-05,3,0.56176914536239786,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.7782794100389229e-10,4.4668359215096301e-05,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.7782794100389229e-10,8.9125093813374493e-05,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,3.5481338923357528e-10,8.9125093813374493e-05,6,0.69090815370097203,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,7.0794578438413732e-10,8.9125093813374493e-05,5,0.65249223594996208,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,7.0794578438413732e-10,0.00017782794100389227,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.4125375446227555e-09,0.00017782794100389227,12,0.87353829072479572,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.4125375446227555e-09,0.00035481338923357532,3,0.56176914536239786,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.8183829312644547e-09,0.00017782794100389227,7,0.72623523599162632,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.8183829312644547e-09,0.00035481338923357532,6,0.69090815370097203,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,5.623413251903491e-09,0.00035481338923357532,11,0.84699246226397196,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,5.623413251903491e-09,0.00070794578438413737,5,0.65249223594996208,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.122018454301964e-08,0.00035481338923357532,6,0.69090815370097203,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.122018454301964e-08,0.00070794578438413737,13,0.89899922958351797,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.2387211385683401e-08,0.00070794578438413737,18,1.0136753236814713,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.2387211385683401e-08,0.0014125375446227524,8,0.75911688245431419,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,4.46683592150963e-08,0.00070794578438413737,14,0.92349832961930944,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,4.46683592150963e-08,0.0014125375446227524,33,1.284021276376845,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,4.46683592150963e-08,0.0028183829312644492,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,8.9125093813374497e-08,0.0014125375446227524,40,1.3884199576606167,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,8.9125093813374497e-08,0.0028183829312644492,27,1.1853074360871938,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,8.9125093813374497e-08,0.0056234132519034901,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.7782794100389208e-07,0.0014125375446227524,10,0.81920997883030833,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.7782794100389208e-07,0.0028183829312644492,72,1.7773506473629426,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.7782794100389208e-07,0.0056234132519034901,20,1.0549844718999242,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,3.5481338923357531e-07,0.0028183829312644492,46,1.4708193969625483,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,3.5481338923357531e-07,0.0056234132519034901,73,1.7879206741571554,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,3.5481338923357531e-07,0.011220184543019629,18,1.0136753236814713,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,3.5481338923357531e-07,0.3548133892335753,309,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,7.0794578438413801e-07,0.0028183829312644492,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,7.0794578438413801e-07,0.0056234132519034901,82,1.8799693248647351,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,7.0794578438413801e-07,0.011220184543019629,99,2.0409773867919156,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,7.0794578438413801e-07,0.022387211385683378,23,1.1132496741962894,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,7.0794578438413801e-07,0.044668359215096258,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,7.0794578438413801e-07,0.17782794100389229,195,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,7.0794578438413801e-07,0.3548133892335753,20426,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.4125375446227539e-06,0.0056234132519034901,24,1.1318163074019441,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.4125375446227539e-06,0.011220184543019629,131,2.3101941656067275,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.4125375446227539e-06,0.022387211385683378,119,2.2135681806344287,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.4125375446227539e-06,0.044668359215096258,25,1.1499999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.4125375446227539e-06,0.17782794100389229,1853,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.4125375446227539e-06,0.3548133892335753,21523,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,1.4125375446227539e-06,0.70794578438413736,274,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.8183829312644522e-06,0.011220184543019629,53,1.5604197800704933,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.8183829312644522e-06,0.022387211385683378,214,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.8183829312644522e-06,0.044668359215096258,198,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.8183829312644522e-06,0.089125093813374398,129,2.2944070044880984,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.8183829312644522e-06,0.17782794100389229,3972,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.8183829312644522e-06,0.3548133892335753,14663,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,0,2.8183829312644522e-06,0.70794578438413736,724,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
