target_D,horizon,round,statistical_bound_component,historical_bound_component,path_inflation_component,current_bias_cumulative,cumulative_pseudo_regret,sharp_theorem_rhs,aggregate_sha256
2,1000,1,11.963809034752169,0,0,0.0039548249823020774,0.20563860590878671,11.967763859734465,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,10,179.6368433908419,0.6419880834015913,0.98390141788145224,0.051822108893190048,1.7874348415025889,181.31455500101814,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,20,424.34221763334068,2.3172412451854107,7.5628385488440824,0.14288596087030736,3.5878037886848908,434.36518338824038,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,30,667.83316005213612,4.9311103635918654,21.096772849500873,0.27033818755175809,5.3798342534764867,694.13138145278049,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,40,887.26857665861473,8.2524285752446591,39.112398401899469,0.420225411737849,6.9239184513896168,935.05362904749632,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,50,1088.0642114646153,12.050914355482297,58.877925331041418,0.57635229950700007,8.4082948107162103,1159.5694034506462,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,60,1275.4626115943904,16.152414345264443,79.543494369985922,0.73402164319237917,9.7983149551386717,1371.8925419528332,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,70,1452.5104754155122,20.460148891550219,100.76423326942118,0.89207805492997361,11.13084088638783,1574.6269356314128,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,80,1621.7521454241576,24.927540069635391,122.52942874414273,1.0501018430488911,12.399268112760602,1770.2592160809845,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,90,1783.7208448101817,29.507043113958048,144.49893158171474,1.208033696859574,13.713307237015719,1958.9348532027136,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,100,1939.6905354628921,34.179058546090509,166.55423145064222,1.3657904443648565,14.988847159999972,2141.7896159039897,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,110,2090.5177974544376,38.929392370109653,188.69525369415101,1.5235065223365962,16.269417466888804,2319.6659500410346,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,120,2236.4725102224179,43.740092997552864,211.00007467887085,1.680958400384116,17.44616159136228,2492.8936362992263,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,130,2378.2168963471499,48.604675139525689,233.37545688791272,1.8382922584786541,18.662277705427115,2662.0353206330665,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,140,2516.3467957763792,53.520471302125351,255.83233944313204,1.9956165351960777,19.801767944597227,2827.6952230568322,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,150,2651.1692616170808,58.482683693061574,278.28026930840974,2.1530991378510018,20.996879327960819,2990.0853137564013,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,160,2782.8729785976243,63.484078481011913,300.7629522223279,2.3105908897183651,22.157335377517846,3149.430600190683,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,170,2911.6198863918607,68.519735189662299,323.29646468034008,2.4681680207072771,23.337722864077332,3305.9042542825714,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
