target_D,series_code,x,y,count,marker_size,aggregate_sha256
0.5,0,1.4125375446227553e-12,5.6234132519034844e-06,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,2.8183829312644549e-12,5.6234132519034844e-06,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,5.6234132519034904e-12,1.1220184543019617e-05,3,0.56176914536239786,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.1220184543019629e-11,1.1220184543019617e-05,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.1220184543019629e-11,2.2387211385683376e-05,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,2.2387211385683377e-11,2.2387211385683376e-05,6,0.69090815370097203,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,4.4668359215096346e-11,2.2387211385683376e-05,5,0.65249223594996208,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,4.4668359215096346e-11,4.4668359215096301e-05,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,8.9125093813374591e-11,4.4668359215096301e-05,13,0.89899922958351797,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,8.9125093813374591e-11,8.9125093813374493e-05,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.7782794100389229e-10,4.4668359215096301e-05,7,0.72623523599162632,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.7782794100389229e-10,8.9125093813374493e-05,6,0.69090815370097203,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,3.5481338923357528e-10,8.9125093813374493e-05,11,0.84699246226397196,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,3.5481338923357528e-10,0.00017782794100389227,5,0.65249223594996208,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,7.0794578438413732e-10,8.9125093813374493e-05,6,0.69090815370097203,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,7.0794578438413732e-10,0.00017782794100389227,13,0.89899922958351797,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.4125375446227555e-09,0.00017782794100389227,18,1.0136753236814713,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.4125375446227555e-09,0.00035481338923357532,8,0.75911688245431419,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,2.8183829312644547e-09,0.00017782794100389227,15,0.947137002317335,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,2.8183829312644547e-09,0.00035481338923357532,32,1.2682337649086284,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,2.8183829312644547e-09,0.00070794578438413737,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
