target_D,horizon,method,method_index,round,mean,ci_low,ci_high,aggregate_sha256
0.5,1000,transport_hessian,0,1,0.20563866810340486,0.16973493864319408,0.24254736090931919,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,10,1.77867474336095,1.7122637891784456,1.8423945093707013,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,20,3.6264597100508142,3.5272553447369224,3.7274940218841821,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,30,5.3639707546144635,5.2486539703635131,5.4756699757195681,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,40,6.8976603738971036,6.7541627152852461,7.0319424776243711,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,50,8.3530757769510142,8.2265695986069201,8.4766745970704509,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,60,9.6924698951231516,9.5356990122506708,9.8439988817095472,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,70,10.970071699663421,10.787273338375341,11.152690011002742,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,80,12.244732539474166,12.063009950341465,12.429753986235655,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,90,13.479832740530275,13.286826324299152,13.673588591923094,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,100,14.722935366227084,14.517868615823978,14.924010518665755,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,110,15.837983137604681,15.62568438142894,16.043327776093559,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,120,16.952763159928832,16.718767328978121,17.187332257344799,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,130,18.021621905590926,17.763641907149072,18.277692772708459,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,140,19.075703860119866,18.799632849358893,19.352585076144432,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,150,20.163536304826788,19.894869819095717,20.439414598660722,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,160,21.242311406505472,20.926251810492371,21.569575148306559,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,170,22.378368682977026,22.032033550418578,22.746188248593469,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,180,23.47874473744664,23.121102665492028,23.852072454905141,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,190,24.506959753169543,24.14099279028364,24.902533761050584,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,200,25.532096930822412,25.1306613063262,25.953288874199274,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,210,26.396923225642468,25.983614746233595,26.827406163602468,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,220,27.380612869260084,26.938300792242206,27.846630079865921,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,230,28.279918626601173,27.819270030615531,28.759476881583019,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,240,29.16546900737524,28.691808220862988,29.652033057122296,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,250,30.161443906460409,29.678835361353102,30.649384490064676,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,260,31.108049740881299,30.594547574659217,31.62774522417952,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,270,31.973205563382802,31.431247718163231,32.515744216747713,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,280,32.870920084790889,32.307104340769392,33.429292158170298,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,290,33.77121615899388,33.203997854892997,34.328590328865943,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,300,34.589967255917607,34.0114315848272,35.157565638397095,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,310,35.402249563928493,34.797581640112917,35.993649246151762,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,320,36.319293850608389,35.707511221809654,36.917903283176827,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,330,37.167540203284688,36.545272704924201,37.779345336725932,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,340,38.030112600404713,37.381869011659461,38.658217859712757,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,350,38.847066739714627,38.214552833713334,39.467860119429751,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,360,39.730925924497186,39.095047303032224,40.351388374341504,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,370,40.591867898544471,39.946687367280141,41.205504217838985,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,380,41.39578544634918,40.764858599123237,42.00888600084869,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,390,42.183684907925915,41.526230048135417,42.815517976406667,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,400,43.008258222528895,42.348883170239382,43.658568343106985,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,410,43.755556009936029,43.069646209849267,44.421712044631427,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,420,44.573466758587116,43.864891177883486,45.256661780176195,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,430,45.361875262810045,44.646989130325466,46.060255689474516,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,440,46.181808243452885,45.440230677826285,46.905935993715154,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,450,47.015368190516128,46.250874371544093,47.766051237771627,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,460,47.795590423623565,47.040644277157668,48.540537746683384,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,470,48.554180847566698,47.797448413007558,49.298744069847842,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,480,49.361955603969626,48.599247619614111,50.116203690837168,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,490,50.044103376082397,49.275371391216268,50.806442647222326,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,500,50.842385687597158,50.06245484992747,51.614410445159763,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,510,51.668783069953044,50.89118391684557,52.434055703992321,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,520,52.420235333822241,51.638037187342213,53.186745433848742,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,530,53.088327326563906,52.28608313666799,53.872061113299154,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,540,53.766812090586789,52.951680446515525,54.579394994464351,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,550,54.496723561703767,53.684173167685692,55.303239547752916,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,560,55.174605905017451,54.362070660519095,55.976912469142192,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,570,55.829469957179796,55.007997014883166,56.64783370989749,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,580,56.523653068681504,55.669899835621408,57.361149409933759,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,590,57.191743023551282,56.310158668791622,58.049698202802048,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,600,57.864101891020319,56.973394065664728,58.727087917714677,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,610,58.538032126573043,57.630825137109817,59.429228147512845,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,620,59.245113891235739,58.331615923060156,60.150642130876044,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,630,59.9306307792802,59.029490583953802,60.826328735619768,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,640,60.547386162092479,59.63121231986181,61.449001965068589,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,650,61.216725365492358,60.276543235492497,62.12924118171059,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,1000,transport_hessian,0,660,61.893802536073537,60.929268639684992,62.839825087544099,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
