target_D,horizon,round,statistical_bound_component,historical_bound_component,path_inflation_component,current_bias_cumulative,cumulative_pseudo_regret,sharp_theorem_rhs,aggregate_sha256
0.25,1000,190,3154.6641323712247,9.7913501573641142,40.319814662227849,0.34783673800104764,24.190142679619811,3205.1231339288179,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,200,3275.6886022697122,10.431337790554235,42.669898167745387,0.36755684224343527,25.198744049445612,3329.157395070255,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,210,3394.3125959976082,11.073810423422856,44.994556309447923,0.38726000412698947,26.142943262165648,3450.7682227346063,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,220,3511.087333349953,11.719847670010404,47.311545419228104,0.40697528455286258,27.096719240339517,3570.5257017237436,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,230,3625.9193628747821,12.368677875672356,49.618072346434971,0.42670909683929581,28.069745642105794,3688.332822193729,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,240,3739.0186996709817,13.020458635554423,51.919481966695677,0.44643944700784538,28.975933710832646,3804.4050797202403,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,250,3850.1371977321601,13.673786941067446,54.219163171506743,0.46615900254222864,29.814800692457663,3918.4963068472775,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,260,3959.8236327933114,14.330171142997115,56.513857021553598,0.48587870546892986,30.68738922516112,4031.1535396633308,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,270,4067.9261952701781,14.988657885499187,58.800077914273423,0.50558357043754609,31.608743869131334,4142.2205146403867,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,280,4174.5950337788845,15.649389629515481,61.076376173028912,0.52528373575189091,32.491960351321765,4251.8460833171803,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,290,4279.7723645830047,16.311786733644258,63.335308156690388,0.54497369768478143,33.357275526122159,4359.9644331710242,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,300,4383.5823758532861,16.975956947032319,65.586909610164682,0.5646602440060231,34.179410433480825,4466.7099026544902,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,310,4486.3650872995277,17.64289717550264,67.83630161916021,0.58433118620446201,35.051519264796163,4572.4286172803968,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,320,4587.8774819456648,18.311369104595705,70.07932432837805,0.60398909397184208,35.922167732931044,4676.8721644726102,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,330,4688.1403071353707,18.981225420956562,72.31002703697223,0.62365969233084595,36.749993422523715,4780.0552192856294,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,340,4787.401258987139,19.65317339950936,74.531669946634139,0.64333677767896591,37.609909849481546,4882.2294391109635,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,350,4885.3571156533662,20.325741292967031,76.738801400223295,0.66303833581773441,38.36757998947791,4983.0846966823738,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,360,4982.5042847723671,21.000858709998994,78.936848499761368,0.68274895841825545,39.166758579150311,5083.1247409405469,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,370,5078.7410291003971,21.677844192468672,81.132961540745782,0.70245554915225239,40.009158380014753,5182.2542903827634,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,380,5173.9237210911224,22.35589181331321,83.318188381087808,0.72216322930196142,40.807472187679231,5280.3199645148252,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,390,5267.9731183094209,23.034484277782177,85.487744937423301,0.74187617682087548,41.54987395966814,5377.2372237014442,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,400,5361.4672481789921,23.715957280776603,87.653740361277784,0.76158253154157018,42.389961913495171,5473.5985283525879,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,410,5454.2403096420367,24.399416577589218,89.823373495516876,0.78127428892216788,43.21020605169798,5569.2443740040635,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,420,5545.6710608835692,25.08189237609815,91.973165490795253,0.80095067801247988,43.910207131346326,5663.5270694284745,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,430,5636.409648045289,25.766117868470065,94.108440751991367,0.82060132667947883,44.693084582508774,5757.1048079924285,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,440,5726.5847472526812,26.452517159621877,96.232974618841439,0.84023545296552526,45.519491353490324,5850.1104744841114,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,450,5816.1554524324274,27.140752578369138,98.353625498526725,0.85986195499052076,46.357496492820125,5942.509692464314,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,460,5904.6650253343569,27.828583279384475,100.45614311357093,0.87947915303172775,47.098918042654688,6033.8292308803448,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,470,5992.4315100934382,28.517338792900354,102.55074944463466,0.89909280967189698,47.872861202668993,6124.3986911406473,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
