experiment,profile,seed_set,comparison,method,reference_method,difference_direction,variant_json,hyperparameters_json,run_count,scope,horizon,metric,n,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_half_width
nonlinear_audit,full,evaluation,default,aggressive,,,"{""center"":""corrected""}","{""ridge"":1.0}",20,summary,,E_T,20,2.545731397223385,0.4536983323654814,0.10145003124475094,2.3333940415076464,2.7580687529391232,0.2123373557157382
nonlinear_audit,full,evaluation,default,aggressive,,,"{""center"":""corrected""}","{""ridge"":1.0}",20,summary,,F_T,20,0.0895350454224906,0.03170576255287866,0.007089624034670394,0.07469629178121419,0.10437379906376702,0.01483875364127642
nonlinear_audit,full,evaluation,default,aggressive,,,"{""center"":""corrected""}","{""ridge"":1.0}",20,summary,,Gamma_dynamic_T,20,199.78141761610635,3.619570205509061,0.8093605028851143,198.0874066148798,201.4754286173329,1.6940110012265497
nonlinear_audit,full,evaluation,default,aggressive,,,"{""center"":""corrected""}","{""ridge"":1.0}",20,summary,,Lambda_alg_T,20,184.96332250700505,1.896171775621802,0.42399689873068275,184.0758867989672,185.8507582150429,0.8874357080378427
nonlinear_audit,full,evaluation,default,aggressive,,,"{""center"":""corrected""}","{""ridge"":1.0}",20,summary,,V_alg_T,20,7.549961334946443,3.1565461827327352,0.7058251838707869,6.072652246897718,9.027270422995167,1.4773090880487243
nonlinear_audit,full,evaluation,default,aggressive,,,"{""center"":""corrected""}","{""ridge"":1.0}",20,summary,,chi_T,20,2.7591173195114345,0.4398638392662743,0.09835654454434305,2.553254705871642,2.964979933151227,0.2058626136397923
nonlinear_audit,full,evaluation,default,aggressive,,,"{""center"":""corrected""}","{""ridge"":1.0}",20,summary,,cumulative_pseudo_regret,20,17.71891518873017,1.6024237236749952,0.35831283748956283,16.96895780086122,18.468872576599118,0.7499573878689503
nonlinear_audit,full,evaluation,default,aggressive,,,"{""center"":""corrected""}","{""ridge"":1.0}",20,summary,,optimism_violation_rate,20,0.0016,0.003346640106136302,0.0007483314773547883,3.372421722552159e-05,0.0031662757827744786,0.0015662757827744785
nonlinear_audit,full,evaluation,default,aggressive,,,"{""center"":""corrected""}","{""ridge"":1.0}",20,summary,,peak_host_memory_bytes,20,91800371.2,378738.3323195164,84688.46567513442,91623116.20421101,91977626.195789,177254.99578898872
nonlinear_audit,full,evaluation,default,aggressive,,,"{""center"":""corrected""}","{""ridge"":1.0}",20,summary,,policy_optimism_violation_rate,20,0.0016,0.003346640106136302,0.0007483314773547883,3.372421722552159e-05,0.0031662757827744786,0.0015662757827744785
