experiment,profile,seed_set,comparison,method,reference_method,difference_direction,variant_json,hyperparameters_json,run_count,scope,horizon,metric,n,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_half_width
systems_scaling,full,evaluation,benchmark_diagnostic,batched_jacobi_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,cg_iterations,5,20.8,1.3038404810405297,0.58309518948453,19.181068215291297,22.418931784708704,1.6189317847087032
systems_scaling,full,evaluation,benchmark_diagnostic,batched_jacobi_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,curvature_vector_products,5,921.6,41.72289539329695,18.65904606350496,869.7941828893215,973.4058171106785,51.805817110678504
systems_scaling,full,evaluation,benchmark_diagnostic,batched_jacobi_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,equivalent_sample_cvp_count,5,921.6,41.72289539329695,18.65904606350496,869.7941828893215,973.4058171106785,51.805817110678504
systems_scaling,full,evaluation,benchmark_diagnostic,batched_jacobi_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,estimated_total_host_memory_bytes,5,261376.0,0.0,0.0,261376.0,261376.0,0.0
systems_scaling,full,evaluation,benchmark_diagnostic,batched_jacobi_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,estimated_working_memory_bytes,5,103424.0,0.0,0.0,103424.0,103424.0,0.0
systems_scaling,full,evaluation,benchmark_diagnostic,batched_jacobi_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,max_explicit_relative_residual,5,8.166074243886611e-11,1.3971464545327572e-11,6.248228893716128e-12,6.431287791075254e-11,9.900860696697968e-11,1.7347864528113567e-11
systems_scaling,full,evaluation,benchmark_diagnostic,batched_jacobi_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,max_relative_energy_error,5,8.04907980296455e-11,1.3661545523376214e-11,6.1096288935954316e-12,6.352774879344746e-11,9.745384726584355e-11,1.6963049236198045e-11
systems_scaling,full,evaluation,benchmark_diagnostic,batched_jacobi_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,mean_explicit_relative_residual,5,6.059033800052147e-11,2.706170023917403e-11,1.210236026430309e-11,2.6988799083356884e-11,9.419187691768605e-11,3.3601538917164585e-11
systems_scaling,full,evaluation,benchmark_diagnostic,batched_jacobi_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,mean_relative_energy_error,5,5.973215017394331e-11,2.6646387388867692e-11,1.1916626711260257e-11,2.6646290270995494e-11,9.281801007689113e-11,3.3085859902947817e-11
systems_scaling,full,evaluation,benchmark_diagnostic,batched_jacobi_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,peak_accelerator_memory_bytes,5,0.0,0.0,0.0,0.0,0.0,0.0
