task,method,prefix,seed_count,metric,mean,standard_error,median,q10,q25,q75,q90,iqr
covtype_label_bandit,greedy_corrected,32,1,cg_matvecs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,greedy_corrected,32,1,cumulative_regret,22.40000000000001,0.0,22.40000000000001,22.40000000000001,22.40000000000001,22.40000000000001,22.40000000000001,0.0
covtype_label_bandit,greedy_corrected,32,1,current_misspecification_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,greedy_corrected,32,1,data_loading_seconds,0.015451621962711215,0.0,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.0
covtype_label_bandit,greedy_corrected,32,1,diagnostic_seconds,0.5259745579678565,0.0,0.5259745579678565,0.5259745579678565,0.5259745579678565,0.5259745579678565,0.5259745579678565,0.0
covtype_label_bandit,greedy_corrected,32,1,end_to_end_round_seconds,1.3174182659713551,0.0,1.3174182659713551,1.3174182659713551,1.3174182659713551,1.3174182659713551,1.3174182659713551,0.0
covtype_label_bandit,greedy_corrected,32,1,fraction_bonus_below_gap,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
covtype_label_bandit,greedy_corrected,32,1,fraction_bonus_exceeds_range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,greedy_corrected,32,1,historical_misspecification_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,greedy_corrected,32,1,kappa_minus,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
covtype_label_bandit,greedy_corrected,32,1,logical_operator_bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,greedy_corrected,32,1,operator_construction_seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,greedy_corrected,32,1,peak_rss_bytes,426119168.0,0.0,426119168.0,426119168.0,426119168.0,426119168.0,426119168.0,0.0
covtype_label_bandit,greedy_corrected,32,1,preprocessing_seconds,0.03642051498172805,0.0,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.0
covtype_label_bandit,greedy_corrected,32,1,representation_update_seconds,0.20463728002505377,0.0,0.20463728002505377,0.20463728002505377,0.20463728002505377,0.20463728002505377,0.20463728002505377,0.0
covtype_label_bandit,greedy_corrected,32,1,solver_seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,greedy_corrected,32,1,teacher_environment_seconds,0.008029669988900423,0.0,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.0
covtype_label_bandit,greedy_corrected,32,1,transport_certificate_seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,linucb_fixed_features,32,1,action_accuracy,0.1875,0.0,0.1875,0.1875,0.1875,0.1875,0.1875,0.0
covtype_label_bandit,linucb_fixed_features,32,1,action_scoring_seconds,0.0032661676523275673,0.0,0.0032661676523275673,0.0032661676523275673,0.0032661676523275673,0.0032661676523275673,0.0032661676523275673,0.0
